Employee_ID,Job_Title,Department,Role_Level,Employee_Persona,Hire_Date,Tenure_Years,Experience_Years,Domain_Expertise_Years,Salary_INR,Salary_to_Experience_Ratio,Performance_Rating_Current,Perf_Hist_1,Perf_Hist_2,Perf_Hist_3,Perf_Trend_Slope,Recent_Performance_Delta,Performance_Volatility,Weekly_Workload_Hours,Workload_to_Capacity_Ratio,Active_Task_Count,Completed_Tasks_30d,Task_Completion_Rate,Task_Overdue_Count,Overtime_Hours_30d,After_Hours_Activity_Hours,Avg_Daily_Meeting_Hours,Task_Switch_Frequency,Focus_Time_Ratio,Avg_Response_Time_Hours,Current_Day_of_Week,Days_Until_Deadline,Is_Quarter_End,Project_Phase,Days_Since_Vacation,Leave_Days_3m,Self_Reported_Stress,Sentiment_Score,Language_Tone_Stress_Index,Physio_Proxy_HRV,Survey_Wellbeing_Score,Skill_Role_Match_Score,Learning_Capacity_Score,Capacity_Score,Team_Size,Direct_Reports_Count,Collaboration_Intensity_Score,Manager_Support_Score,Communication_Frequency_Score,Incoming_Task_Complexity,Incoming_Task_Complexity_Score,Incoming_Task_Estimated_Hours,Incoming_Task_Skill_Match,Incoming_Task_Urgency,Incoming_Task_Urgency_Score,CLI_v2,Risk_Category,Delta_if_Assign,Delta_no_Assign,Recommendation,Attrition_Label
EMP200000,Customer Success Manager,CustomerSuccess,Junior,Balanced,2020-03-24,5.63,7.0,7.0,1651907,0.001,3.02,2.5,2.86,3.02,0.26,0.16,0.217,24.32,0.54,4,3,0.375,3,0.0,0.0,4.49,8,0.668,2.44,1,7,0,Deployment,165,1,2.75,-0.095,0.478,101.05,73.14,0.644,0.714,1.0,20,5,1.0,0.57,1.0,Low,0.25,8.07,0.558,High,0.75,0.279,Low,-0.54,-0.012,AssignWithSupport,0
EMP200001,Staff Engineer,Engineering,Lead,Balanced,2008-11-06,17.01,25.0,14.1,4335205,0.001,1.75,1.97,1.94,1.75,-0.11,-0.19,0.097,31.17,0.693,5,5,0.455,3,6.5,5.69,2.45,7,0.686,2.25,1,7,0,Development,7,1,4.46,-0.328,0.555,69.81,83.17,1.0,0.607,1.0,3,0,0.765,0.669,0.62,Critical,1.0,24.83,1.0,Medium,0.5,0.38,Medium,-0.837,-0.064,AssignWithSupport,0
EMP200002,Software Engineer I,Engineering,Mid,Sensitive,2012-03-25,13.63,20.0,10.72,1772397,0.0,4.18,4.79,4.47,4.18,-0.305,-0.29,0.249,42.33,1.107,8,16,0.64,1,13.5,4.84,0.36,10,0.95,3.14,3,3,0,Development,12,0,4.38,-0.086,0.942,76.09,47.9,1.0,0.906,0.85,3,0,0.442,0.671,0.205,Low,0.25,10.75,0.993,High,0.75,0.362,Medium,-0.948,-0.003,AssignWithSupport,1
EMP200003,HR Associate,HR,Mid,Balanced,2018-11-01,7.03,11.0,7.74,1697362,0.001,3.44,3.31,3.48,3.44,0.065,-0.04,0.073,20.03,0.445,6,12,0.632,2,0.0,0.0,1.22,10,0.95,2.74,0,30,1,Development,68,1,2.58,0.513,0.444,92.19,82.45,0.796,0.73,1.0,5,0,0.52,0.805,0.436,Medium,0.5,13.58,0.51,High,0.75,0.198,Low,-0.508,-0.0,AssignWithSupport,0
EMP200004,Data Scientist I,DataScience,Junior,Balanced,2015-01-21,10.8,12.0,11.16,518947,0.0,3.72,3.29,3.43,3.72,0.215,0.29,0.179,38.57,0.857,9,24,0.706,1,7.9,5.49,3.09,13,0.872,2.82,3,14,0,Testing,24,1,4.21,-0.097,0.572,62.77,47.83,1.0,0.577,1.0,7,0,0.982,0.74,0.819,High,0.75,17.92,1.0,Medium,0.5,0.356,Medium,-0.852,-0.105,AssignWithSupport,0
EMP200005,Senior Product Manager,Other,Junior,Workaholic,2020-05-28,5.45,11.0,5.4,728693,0.0,3.46,3.24,3.6,3.46,0.11,-0.14,0.148,58.19,1.176,10,21,0.656,1,52.5,8.83,1.78,12,0.804,2.94,0,3,0,Development,193,0,4.83,-0.336,1.0,45.67,33.48,1.0,1.0,1.1,10,4,0.995,0.65,0.584,High,0.75,15.7,0.92,Low,0.25,0.437,Medium,-1.329,-0.038,DoNotAssign,0
EMP200006,Senior Product Manager,Other,Junior,Resilient,2025-01-18,0.81,0.81,0.81,1089161,0.005,4.34,4.14,4.2,4.34,0.1,0.14,0.084,54.33,0.966,8,23,0.719,2,46.5,0.0,2.19,9,0.897,5.43,1,30,0,Development,41,2,2.64,0.334,0.42,88.34,84.11,0.487,1.0,1.25,20,1,1.0,0.853,0.523,Low,0.25,9.73,0.596,High,0.75,0.269,Low,-1.002,-0.025,DoNotAssign,0
EMP200007,Engineering Manager,Engineering,Senior,Balanced,2007-06-07,18.43,24.0,15.89,2104291,0.0,3.82,4.07,4.4,3.82,-0.125,-0.58,0.238,25.25,0.561,6,16,0.696,0,0.0,6.33,2.52,8,0.857,1.7,0,1,0,Testing,170,2,2.75,0.213,0.398,84.82,63.63,1.0,0.575,1.0,15,4,1.0,0.496,0.842,High,0.75,24.28,1.0,Low,0.25,0.225,Low,-0.379,-0.07,Assign,0
EMP200008,HR Associate,HR,Mid,Balanced,2019-10-20,6.06,11.0,10.62,1502457,0.0,2.39,1.92,1.94,2.39,0.235,0.45,0.217,100.0,2.222,12,24,0.649,1,120.0,15.99,1.58,17,0.752,10.55,3,3,1,Testing,144,3,5.0,-0.554,0.941,45.59,33.0,0.861,0.585,1.0,7,0,0.421,0.676,0.76,Low,0.25,12.69,0.884,Medium,0.5,0.647,High,-1.8,-0.117,DoNotAssign,0
EMP200009,Staff Engineer,Engineering,Mid,Balanced,2009-10-21,16.05,18.0,13.37,1605370,0.0,2.61,3.11,2.61,2.61,-0.25,0.0,0.236,21.48,0.477,7,12,0.6,3,0.4,6.56,2.98,9,0.717,2.22,0,14,0,Testing,34,2,2.91,0.001,0.602,85.17,77.32,1.0,0.566,1.0,10,0,0.772,0.709,0.777,Medium,0.5,12.09,0.949,Low,0.25,0.292,Low,-0.657,-0.094,AssignWithSupport,0
